Best Performance by an Actor in a Supporting Role in any Motion Picture,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Best Performance by an Actress in a Supporting Role in any Motion Picture
"['Glory', 'Do The Right Thing', 'Dry White Season, A', 'Indiana Jones and The Last Crusade', 'Jacknife', 'In Country']","['Driving Miss Daisy', 'War of The Roses, The', 'Shirley Valentine', 'When Harry Met Sally', 'She-Devil']","['Driving Miss Daisy', 'When Harry Met Sally', 'War of The Roses, The', 'Parenthood', 'Batman']","['Steel Magnolias', 'Scandal', 'My Left Foot', 'Sex, Lies, and Videotape', 'Parenthood']"
,,,
"['Longtime Companion', 'Dick Tracy', 'GoodFellas', 'Q & A', 'Pretty Woman', 'Godfather Part III, The']","['Pretty Woman', 'Alice (1990)', 'Green Card', 'Ghost', 'Postcards From The Edge']","['Green Card', 'Ghost', 'Home Alone', 'Edward Scissorhands', 'Pretty Woman']","['Ghost', 'GoodFellas', 'Wild at Heart', 'Postcards From The Edge', 'Dances with Wolves', 'Mermaids']"
,,,
"['City Slickers', 'Hear My Song', 'Barton Fink', 'Bugsy', 'Bugsy']","['For The Boys', 'Switch', 'Fried Green Tomatoes', 'Addams Family, The', 'Frankie & Johnny']","['Fisher King, The', 'Fisher King, The', 'City Slickers', 'Hook', 'Soapdish']","['Fisher King, The', 'Billy Bathgate', 'Rambling Rose', 'Cape Fear', 'Fried Green Tomatoes']"
,,,
"['Unforgiven', 'Few Good Men, A', 'Scent of a Woman', 'Glengarry Glen Ross', 'Mr. Saturday Night']","['Enchanted April', 'League of Their Own, A', 'Sister Act', 'Used People', 'Death Becomes Her']","['Player, The', 'Honeymoon In Vegas', 'Mr. Saturday Night', 'Used People', 'Bob Roberts']","['Enchanted April', 'Husbands and Wives', 'Damage', 'Passion Fish', 'Chaplin']"
,,,
"['Fugitive, The', ""What's Eating Gilbert Grape"", ""Schindler's List"", 'In the Line of Fire', ""Carlito's Way""]","[""What's Love Got To Do With It"", 'Six Degrees of Separation', 'Addams Family Values', 'Manhattan Murder Mystery', 'Sleepless in Seattle']","['Mrs. Doubtfire', 'Snapper, The', 'Benny & Joon', 'Sleepless in Seattle', 'Dave']","['Age of Innocence, The', ""Carlito's Way"", 'The Piano', 'Fearless', 'In the Name of the Father']"
,,,
