Documentary (Feature),Art Direction,Sound Mixing,Foreign Language Film,Makeup and Hairstyling,Music (Original Score),Sound,Special Achievement Award,Writing (Adapted Screenplay),Jean Hersholt Humanitarian Award,Visual Effects,Actress in a Supporting Role,Writing (Screenplay Based on Material from Another Medium),Best Picture,Sound Editing,Writing (Original Screenplay),Short Film (Live Action),Animated Feature Film,Costume Design,Short Film (Animated),Directing,Production Design,Documentary (Short Subject),Cinematography,Actor in a Supporting Role,Writing (Screenplay Based on Material Previously Produced or Published),Music (Original Dramatic Score),Actress in a Leading Role,Film Editing,Irving G. Thalberg Memorial Award,Music (Original Song),Sound Effects Editing,Music (Original Musical or Comedy Score),Special Achievement Award (Visual Effects),Writing (Screenplay Written Directly for the Screen),Actor in a Leading Role,Makeup
"['Common Threads: Stories from the Quilt', 'Adam Clayton Powell', 'Crack USA: County under Siege', 'For All Mankind', 'Super Chief: The Life and Legacy of Earl Warren']","['Batman', 'The Abyss', 'The Adventures of Baron Munchausen', 'Driving Miss Daisy', 'Glory']",,"['Cinema Paradiso', 'Camille Claudel', 'Jesus of Montreal', 'Waltzing Regitze', 'What Happened to Santiago']",,"['The Little Mermaid', 'Born on the Fourth of July', 'The Fabulous Baker Boys', 'Field of Dreams', 'Indiana Jones and the Last Crusade']","['Glory', 'The Abyss', 'Black Rain', 'Born on the Fourth of July', 'Indiana Jones and the Last Crusade']",,,[''],"['The Abyss', 'The Adventures of Baron Munchausen', 'Back to the Future Part II']","['My Left Foot', 'Enemies, A Love Story', 'Enemies, A Love Story', 'Steel Magnolias', 'Parenthood']","['Driving Miss Daisy', 'Born on the Fourth of July', 'Enemies, A Love Story', 'Field of Dreams', 'My Left Foot']","['Driving Miss Daisy', 'Born on the Fourth of July', 'Dead Poets Society', 'Field of Dreams', 'My Left Foot']",,,"['Work Experience', 'Amazon Diary', 'The Childeater']",,"['Henry V', 'The Adventures of Baron Munchausen', 'Driving Miss Daisy', 'Harlem Nights', 'Valmont']","['Balance', 'The Cow', 'The Hill Farm']","['Born on the Fourth of July', 'Crimes and Misdemeanors', 'Dead Poets Society', 'Henry V', 'My Left Foot']",,"['The Johnstown Flood', 'Fine Food, Fine Pastries, Open 6 to 9', 'Yad Vashem: Preserving the Past to Ensure the Future']","['Glory', 'The Abyss', 'Blaze', 'Born on the Fourth of July', 'The Fabulous Baker Boys']","['Glory', 'Do the Right Thing', 'Driving Miss Daisy', 'A Dry White Season', 'Crimes and Misdemeanors']",,,"['Driving Miss Daisy', 'Camille Claudel', 'Shirley Valentine', 'Music Box', 'The Fabulous Baker Boys']","['Born on the Fourth of July', 'The Bear', 'Driving Miss Daisy', 'The Fabulous Baker Boys', 'Glory']",,"['The Little Mermaid', 'Chances Are', 'Shirley Valentine', 'Parenthood', 'The Little Mermaid']","['Indiana Jones and the Last Crusade', 'Black Rain', 'Lethal Weapon 2']",,,"['Dead Poets Society', 'Crimes and Misdemeanors', 'Do the Right Thing', 'sex, lies, and videotape', 'When Harry Met Sally...']","['My Left Foot', 'Henry V', 'Born on the Fourth of July', 'Driving Miss Daisy', 'Dead Poets Society']","['Driving Miss Daisy', 'The Adventures of Baron Munchausen', 'Dad']"
"['American Dream', 'Berkeley in the Sixties', 'Building Bombs', 'Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade', ""Waldo Salt: A Screenwriter's Journey""]","['Dick Tracy', 'Cyrano de Bergerac', 'Dances With Wolves', 'The Godfather, Part III', 'Hamlet']",,"['Journey of Hope', 'Cyrano de Bergerac', 'Ju Dou', 'The Nasty Girl', 'Open Doors']",,"['Dances With Wolves', 'Avalon', 'Ghost', 'Havana', 'Home Alone']","['Dances With Wolves', 'Days of Thunder', 'Dick Tracy', 'The Hunt for Red October', 'Total Recall']",,,,,"['Ghost', 'The Grifters', 'Good Fellas', 'Wild at Heart', 'Dances With Wolves']","['Dances With Wolves', 'Awakenings', 'Good Fellas', 'The Grifters', 'Reversal of Fortune']","['Dances With Wolves', 'Awakenings', 'Ghost', 'The Godfather, Part III', 'Good Fellas']",,,"['The Lunch Date', 'Bronx Cheers', 'Dear Rosie', 'Senzeni Na? (What Have We Done?)', '12:01 PM']",,"['Cyrano de Bergerac', 'Avalon', 'Dances With Wolves', 'Dick Tracy', 'Hamlet']","['Creature Comforts', 'A Grand Day Out', 'Grasshoppers (Cavallette)']","['Dances With Wolves', 'The Godfather, Part III', 'Good Fellas', 'The Grifters', 'Reversal of Fortune']",,"['Days of Waiting', 'Burning Down Tomorrow', 'Chimps: So Like Us', 'Journey into Life: The World of the Unborn', 'Rose Kennedy: A Life to Remember']","['Dances With Wolves', 'Avalon', 'Dick Tracy', 'The Godfather, Part III', 'Henry & June']","['Good Fellas', 'Longtime Companion', 'The Godfather, Part III', 'Dances With Wolves', 'Dick Tracy']",,,"['Misery', 'The Grifters', 'Pretty Woman', 'Postcards from the Edge', 'Mr. & Mrs. Bridge']","['Dances With Wolves', 'Ghost', 'The Godfather, Part III', 'Good Fellas', 'The Hunt for Red October']",[''],"['Dick Tracy', 'Young Guns II', 'Postcards from the Edge', 'The Godfather, Part III', 'Home Alone']","['The Hunt for Red October', 'Flatliners', 'Total Recall']",,['Total Recall'],"['Ghost', 'Alice', 'Avalon', 'Green Card', 'Metropolitan']","['Reversal of Fortune', 'Dances With Wolves', 'Awakenings', 'Cyrano de Bergerac', 'The Field']","['Dick Tracy', 'Cyrano de Bergerac', 'Edward Scissorhands']"
"['In the Shadow of the Stars', 'Death on the Job', 'Doing Time: Life inside the Big House', 'The Restless Conscience', 'Wild by Law']","['Bugsy', 'Barton Fink', 'The Fisher King', 'Hook', 'The Prince of Tides']",,"['Mediterraneo', 'Children of Nature', 'The Elementary School', 'The Ox', 'Raise the Red Lantern']",,"['Beauty and the Beast', 'Bugsy', 'The Fisher King', 'JFK', 'The Prince of Tides']","['Terminator 2: Judgment Day', 'Backdraft', 'Beauty and the Beast', 'JFK', 'The Silence of the Lambs']",,,,"['Terminator 2: Judgment Day', 'Backdraft', 'Hook']","['The Fisher King', 'Rambling Rose', 'Cape Fear', 'The Prince of Tides', 'Fried Green Tomatoes']",,"['The Silence of the Lambs', 'Beauty and the Beast', 'Bugsy', 'JFK', 'The Prince of Tides']",,,"['Session Man', 'Birch Street Gym', 'Last Breeze of Summer']",,"['Bugsy', 'The Addams Family', 'Barton Fink', 'Hook', 'Madame Bovary']","['Manipulation', 'Blackfly', 'Strings']","['The Silence of the Lambs', 'Boyz N the Hood', 'Bugsy', 'JFK', 'Thelma & Louise']",,"['Deadly Deception: General Electric, Nuclear Weapons and Our Environment', 'Birdnesters of Thailand (aka ""Shadow Hunters"")', 'A Little Vicious', 'The Mark of the Maker', 'Memorial: Letters from American Soldiers']","['JFK', 'Bugsy', 'The Prince of Tides', 'Terminator 2: Judgment Day', 'Thelma & Louise']","['City Slickers', 'JFK', 'Bugsy', 'Bugsy', 'Barton Fink']","['The Silence of the Lambs', 'Europa Europa', 'Fried Green Tomatoes', 'JFK', 'The Prince of Tides']",,"['The Silence of the Lambs', 'Thelma & Louise', 'Rambling Rose', 'For the Boys', 'Thelma & Louise']","['JFK', 'The Commitments', 'The Silence of the Lambs', 'Terminator 2: Judgment Day', 'Thelma & Louise']",[''],"['Beauty and the Beast', 'Beauty and the Beast', 'Beauty and the Beast', 'Robin Hood: Prince of Thieves', 'Hook']","['Terminator 2: Judgment Day', 'Backdraft', 'Star Trek VI The Undiscovered Country']",,,"['Thelma & Louise', 'Boyz N the Hood', 'Bugsy', 'The Fisher King', 'Grand Canyon']","['The Silence of the Lambs', 'Bugsy', 'Cape Fear', 'The Prince of Tides', 'The Fisher King']","['Terminator 2: Judgment Day', 'Hook', 'Star Trek VI The Undiscovered Country']"
"['The Panama Deception', 'Changing Our Minds: The Story of Dr. Evelyn Hooker', 'Fires of Kuwait', 'Liberators: Fighting on Two Fronts in World War II', 'Music for the Movies: Bernard Herrmann']","['Howards End', ""Bram Stoker's Dracula"", 'Chaplin', 'Toys', 'Unforgiven']",,"['Indochine', 'Close to Eden', 'Daens', 'Schtonk!']",,"['Aladdin', 'Basic Instinct', 'Chaplin', 'Howards End', 'A River Runs through It']","['The Last of the Mohicans', 'Aladdin', 'A Few Good Men', 'Under Siege', 'Unforgiven']",,,"['', '']","['Death Becomes Her', 'Alien 3', 'Batman Returns']","['My Cousin Vinny', 'Husbands and Wives', 'Enchanted April', 'Howards End', 'Damage']",,"['Unforgiven', 'The Crying Game', 'A Few Good Men', 'Howards End', 'Scent of a Woman']",,,"['Omnibus', 'Contact', 'Cruise Control', 'The Lady in Waiting', 'Swan Song']",,"[""Bram Stoker's Dracula"", 'Enchanted April', 'Howards End', 'Malcolm X', 'Toys']","['Mona Lisa Descending a Staircase', 'Adam', 'Reci, Reci, Reci... (Words, Words, Words)', 'The Sandman', 'Screen Play']","['Unforgiven', 'The Crying Game', 'Howards End', 'The Player', 'Scent of a Woman']",,"['Educating Peter', 'At the Edge of Conquest: The Journey of Chief Wai-Wai', 'Beyond Imagining: Margaret Anderson and the ""Little Review""', 'The Colours of My Father: A Portrait of Sam Borenstein', 'When Abortion Was Illegal: Untold Stories']","['A River Runs through It', 'Hoffa', 'Howards End', 'The Lover', 'Unforgiven']","['Unforgiven', 'The Crying Game', 'A Few Good Men', 'Glengarry Glen Ross', 'Mr. Saturday Night']","['Howards End', 'Enchanted April', 'The Player', 'A River Runs through It', 'Scent of a Woman']",,"['Howards End', 'Indochine', 'Passion Fish', 'Love Field', ""Lorenzo's Oil""]","['Unforgiven', 'Basic Instinct', 'The Crying Game', 'A Few Good Men', 'The Player']",,"['Aladdin', 'The Mambo Kings', 'Aladdin', 'The Bodyguard', 'The Bodyguard']","[""Bram Stoker's Dracula"", 'Aladdin', 'Under Siege']",,,"['The Crying Game', 'Husbands and Wives', ""Lorenzo's Oil"", 'Passion Fish', 'Unforgiven']","['Scent of a Woman', 'Chaplin', 'Unforgiven', 'The Crying Game', 'Malcolm X']","['Greg Cannom, Michèle Burke, Matthew W. Mung', 'Batman Returns', 'Hoffa']"
"['I Am a Promise: The Children of Stanton Elementary School', 'The Broadcast Tapes of Dr. Peter', 'Children of Fate', 'For Better or for Worse', 'The War Room']","[""Schindler's List"", 'Addams Family Values', 'The Age of Innocence', 'Orlando', 'The Remains of the Day']",,"['Belle Epoque', 'Farewell My Concubine', 'Hedd Wyn', 'The Scent of Green Papaya', 'The Wedding Banquet']",,"[""Schindler's List"", 'The Age of Innocence', 'The Firm', 'The Fugitive', 'The Remains of the Day']","['Jurassic Park', 'Cliffhanger', 'The Fugitive', 'Geronimo: An American Legend', ""Schindler's List""]",,,[''],"['Jurassic Park', 'Cliffhanger', 'The Nightmare before Christmas']","['The Piano', 'The Firm', 'Fearless', 'The Age of Innocence', 'In the Name of the Father']",,"[""Schindler's List"", 'The Fugitive', 'In the Name of the Father', 'The Piano', 'The Remains of the Day']",,,"['Black Rider (Schwarzfahrer)', 'Down on the Waterfront', 'The Dutch Master', 'Partners', 'The Screw (La Vis)']",,"['The Age of Innocence', 'Orlando', 'The Piano', 'The Remains of the Day', ""Schindler's List""]","['The Wrong Trousers', 'Blindscape', 'The Mighty River', 'Small Talk', 'The Village']","[""Schindler's List"", 'In the Name of the Father', 'The Piano', 'The Remains of the Day', 'Short Cuts']",,"['Defending Our Lives', 'Blood Ties: The Life and Work of Sally Mann', 'Chicks in White Satin']","[""Schindler's List"", 'Farewell My Concubine', 'The Fugitive', 'The Piano', 'Searching for Bobby Fischer']","['The Fugitive', ""What's Eating Gilbert Grape"", ""Schindler's List"", 'In the Line of Fire', 'In the Name of the Father']","[""Schindler's List"", 'The Age of Innocence', 'In the Name of the Father', 'The Remains of the Day', 'Shadowlands']",,"['The Piano', ""What's Love Got to Do with It"", 'Six Degrees of Separation', 'The Remains of the Day', 'Shadowlands']","[""Schindler's List"", 'The Fugitive', 'In the Line of Fire', 'In the Name of the Father', 'The Piano']",,"['Philadelphia', 'Poetic Justice', ""Beethoven's 2nd"", 'Philadelphia', 'Sleepless in Seattle']","['Jurassic Park', 'Cliffhanger', 'The Fugitive']",,,"['The Piano', 'Dave', 'In the Line of Fire', 'Philadelphia', 'Sleepless in Seattle']","['Philadelphia', 'In the Name of the Father', ""What's Love Got to Do with It"", 'The Remains of the Day', ""Schindler's List""]","['Mrs. Doubtfire', 'Philadelphia', ""Schindler's List""]"
"['Maya Lin: A Strong Clear Vision', 'Complaints of a Dutiful Daughter', 'D-Day Remembered', 'Freedom on My Mind', 'A Great Day in Harlem']","['The Madness of King George', 'Bullets over Broadway', 'Forrest Gump', 'Interview with the Vampire', 'Legends of the Fall']",,"['Burnt by the Sun', 'Before the Rain', 'Eat Drink Man Woman', 'Farinelli: Il Castrato', 'Strawberry and Chocolate']",,"['The Lion King', 'Forrest Gump', 'Interview with the Vampire', 'Little Women', 'The Shawshank Redemption']","['Speed', 'Clear and Present Danger', 'Forrest Gump', 'Legends of the Fall', 'The Shawshank Redemption']",,,[''],"['Forrest Gump', 'The Mask', 'True Lies']","['Bullets over Broadway', 'Tom & Viv', 'The Madness of King George', 'Pulp Fiction', 'Bullets over Broadway']",,"['Forrest Gump', 'Four Weddings and a Funeral', 'Pulp Fiction', 'Quiz Show', 'The Shawshank Redemption']",,,"[""Franz Kafka's It's a Wonderful Life"", 'Trevor', 'Kangaroo Court', 'On Hope', 'Syrup']",,"['The Adventures of Priscilla, Queen of the Desert', 'Bullets over Broadway', 'Little Women', 'Maverick', 'Queen Margot']","[""Bob's Birthday"", 'The Big Story', 'The Janitor', 'The Monk and the Fish', 'Triangle']","['Forrest Gump', 'Bullets over Broadway', 'Pulp Fiction', 'Quiz Show', 'Red']",,"['A Time for Justice', 'Blues Highway', '89mm od Europy (89mm from Europe)', 'School of Assassins', 'Straight from the Heart']","['Legends of the Fall', 'Forrest Gump', 'Red', 'The Shawshank Redemption', 'Wyatt Earp']","['Ed Wood', 'Pulp Fiction', 'Bullets over Broadway', 'Quiz Show', 'Forrest Gump']","['Forrest Gump', 'The Madness of King George', ""Nobody's Fool"", 'Quiz Show', 'The Shawshank Redemption']",,"['Blue Sky', 'Nell', 'Tom & Viv', 'Little Women', 'The Client']","['Forrest Gump', 'Hoop Dreams', 'Pulp Fiction', 'The Shawshank Redemption', 'Speed']",[''],"['The Lion King', 'The Lion King', 'The Lion King', 'Junior', 'The Paper']","['Speed', 'Clear and Present Danger', 'Forrest Gump']",,,"['Pulp Fiction', 'Bullets over Broadway', 'Four Weddings and a Funeral', 'Heavenly Creatures', 'Red']","['Forrest Gump', 'The Shawshank Redemption', 'The Madness of King George', ""Nobody's Fool"", 'Pulp Fiction']","['Ed Wood', 'Forrest Gump', ""Mary Shelley's Frankenstein""]"
"['Anne Frank Remembered', 'The Battle over Citizen Kane', 'Fiddlefest--Roberta Tzavaras and Her East Harlem Violin Program', 'Hank Aaron: Chasing the Dream', 'Troublesome Creek: A Midwestern']","['Restoration', 'Apollo 13', 'Babe', 'A Little Princess', 'Richard III']",,"[""Antonia's Line"", 'All Things Fair', 'Dust of Life', 'O Quatrilho', 'The Star Maker']",,,"['Apollo 13', 'Batman Forever', 'Braveheart', 'Crimson Tide', 'Waterworld']",['Toy Story'],,,"['Babe', 'Apollo 13']","['Mighty Aphrodite', 'Nixon', 'Apollo 13', 'Georgia', 'Sense and Sensibility']",,"['Braveheart', 'Apollo 13', 'Babe', 'The Postman (Il Postino)', 'Sense and Sensibility']",,,"['Lieberman in Love', 'Brooms', 'Duke of Groove', 'Little Surprises', 'Tuesday Morning Ride']",,"['Restoration', 'Braveheart', 'Richard III', 'Sense and Sensibility', '12 Monkeys']","['A Close Shave', 'The Chicken from Outer Space', 'the end', 'Gagarin', 'Runaway Brain']","['Braveheart', 'Babe', 'Dead Man Walking', 'Leaving Las Vegas', 'The Postman (Il Postino)']",,"['One Survivor Remembers', 'Jim Dine: A Self-Portrait on the Walls', 'The Living Sea', 'Never Give Up: The 20th Century Odyssey of Herbert Zipper', 'The Shadow of Hate']","['Braveheart', 'Batman Forever', 'A Little Princess', 'Sense and Sensibility', 'Shanghai Triad']","['The Usual Suspects', 'Babe', 'Apollo 13', '12 Monkeys', 'Rob Roy']","['Sense and Sensibility', 'Apollo 13', 'Babe', 'Leaving Las Vegas', 'The Postman (Il Postino)']","['The Postman (Il Postino)', 'Apollo 13', 'Braveheart', 'Nixon', 'Sense and Sensibility']","['Dead Man Walking', 'Leaving Las Vegas', 'Casino', 'The Bridges of Madison County', 'Sense and Sensibility']","['Apollo 13', 'Babe', 'Braveheart', 'Crimson Tide', 'Seven']",,"['Pocahontas', 'Dead Man Walking', 'Don Juan DeMarco', 'Sabrina', 'Toy Story']","['Braveheart', 'Batman Forever', 'Crimson Tide']","['Pocahontas', 'The American President', 'Sabrina', 'Toy Story', 'Unstrung Heroes']",,"['The Usual Suspects', 'Braveheart', 'Mighty Aphrodite', 'Nixon', 'Toy Story']","['Leaving Las Vegas', ""Mr. Holland's Opus"", 'Nixon', 'Dead Man Walking', 'The Postman (Il Postino)']","['Braveheart', 'My Family, Mi Familia', 'Roommates']"
"['When We Were Kings', 'The Line King: The Al Hirschfeld Story', 'Mandela', 'Suzanne Farrell: Elusive Muse', 'Tell the Truth and Run: George Seldes and the American Press']","['The English Patient', 'The Birdcage', 'Evita', 'Hamlet', ""William Shakespeare's Romeo & Juliet""]",,"['Kolya', 'A Chef in Love', 'The Other Side of Sunday', 'Prisoner of the Mountains', 'Ridicule']",,,"['The English Patient', 'Evita', 'Independence Day', 'The Rock', 'Twister']",,,,"['Independence Day', 'Dragonheart', 'Twister']","['The English Patient', 'The Crucible', 'The Mirror Has Two Faces', 'The Portrait of a Lady', 'Secrets & Lies']",,"['The English Patient', 'Fargo', 'Jerry Maguire', 'Secrets & Lies', 'Shine']",,,"['Dear Diary', 'De Tripas, Corazon', 'Ernst & Lyset', 'Esposados', 'Wordless']",,"['The English Patient', 'Angels and Insects', 'Emma', 'Hamlet', 'The Portrait of a Lady']","['Quest', 'Canhead', 'La Salla', ""Wat's Pig""]","['The English Patient', 'Fargo', 'The People vs. Larry Flynt', 'Secrets & Lies', 'Shine']",,"[""Breathing Lessons: The Life and Work of Mark O'Brien"", 'Cosmic Voyage', 'An Essay on Matisse', 'Special Effects', 'The Wild Bunch: An Album in Montage']","['The English Patient', 'Evita', 'Fargo', 'Fly Away Home', 'Michael Collins']","['Jerry Maguire', 'Fargo', 'Shine', 'Primal Fear', 'Ghosts of Mississippi']","['Sling Blade', 'The Crucible', 'The English Patient', 'Hamlet', 'Trainspotting']","['The English Patient', 'Hamlet', 'Michael Collins', 'Shine', 'Sleepers']","['Fargo', 'Secrets & Lies', ""Marvin's Room"", 'The English Patient', 'Breaking the Waves']","['The English Patient', 'Evita', 'Fargo', 'Jerry Maguire', 'Shine']",[''],"['Evita', 'Up Close and Personal', 'One Fine Day', 'The Mirror Has Two Faces', 'That Thing You Do!']","['The Ghost and the Darkness', 'Daylight', 'Eraser']","['Emma', 'The First Wives Club', 'The Hunchback of Notre Dame', 'James and the Giant Peach', ""The Preacher's Wife""]",,"['Fargo', 'Jerry Maguire', 'Lone Star', 'Secrets & Lies', 'Shine']","['Shine', 'Jerry Maguire', 'The English Patient', 'The People vs. Larry Flynt', 'Sling Blade']","['The Nutty Professor', 'Ghosts of Mississippi', 'Star Trek: First Contact']"
"['The Long Way Home', 'Ayn Rand: A Sense of Life', 'Colors Straight Up', '4 Little Girls', 'Waco: The Rules of Engagement']","['Titanic', 'Gattaca', 'Kundun', 'L.A. Confidential', 'Men in Black']",,"['Character', 'Beyond Silence', 'Four Days in September', 'Secrets of the Heart', 'The Thief']",,,"['Titanic', 'Air Force One', 'Con Air', 'Contact', 'L.A. Confidential']",,,,"['Titanic', 'The Lost World: Jurassic Park', 'Starship Troopers']","['L.A. Confidential', 'In & Out', 'Good Will Hunting', 'Boogie Nights', 'Titanic']",,"['Titanic', 'As Good as It Gets', 'The Full Monty', 'Good Will Hunting', 'L.A. Confidential']",,,"['Visas and Virtue', 'Dance Lexie Dance', ""It's Good to Talk"", 'Sweethearts?', 'Wolfgang']",,"['Titanic', 'Amistad', 'Kundun', 'Oscar and Lucinda', 'The Wings of the Dove']","[""Geri's Game"", 'Famous Fred', 'La Vieille Dame et les Pigeons (The Old Lady and the Pigeons)', 'The Mermaid', 'Redux Riding Hood']","['Titanic', 'The Full Monty', 'Good Will Hunting', 'L.A. Confidential', 'The Sweet Hereafter']",,"['A Story of Healing', 'Alaska: Spirit of the Wild', 'Amazon', 'Daughter of the Bride', 'Still Kicking: The Fabulous Palm Springs Follies']","['Titanic', 'Amistad', 'Kundun', 'L.A. Confidential', 'The Wings of the Dove']","['Good Will Hunting', 'Jackie Brown', 'Amistad', 'As Good as It Gets', 'Boogie Nights']","['L.A. Confidential', 'Donnie Brasco', 'The Sweet Hereafter', 'Wag the Dog', 'The Wings of the Dove']","['Titanic', 'Amistad', 'Good Will Hunting', 'Kundun', 'L.A. Confidential']","['As Good as It Gets', 'The Wings of the Dove', 'Afterglow', 'Mrs. Brown', 'Titanic']","['Titanic', 'Air Force One', 'As Good as It Gets', 'Good Will Hunting', 'L.A. Confidential']",,"['Titanic', 'Hercules', 'Con Air', 'Anastasia', 'Good Will Hunting']","['Titanic', 'Face/Off', 'The Fifth Element']","['The Full Monty', 'Anastasia', 'As Good as It Gets', 'Men in Black', ""My Best Friend's Wedding""]",,"['Good Will Hunting', 'As Good as It Gets', 'Boogie Nights', 'Deconstructing Harry', 'The Full Monty']","['As Good as It Gets', 'Good Will Hunting', 'The Apostle', ""Ulee's Gold"", 'Wag the Dog']","['Men in Black', 'Mrs. Brown', 'Titanic']"
"['The Last Days', 'Dancemaker', 'The Farm: Angola, U.S.A.', 'Lenny Bruce: Swear to Tell the Truth', 'Regret to Inform']","['Shakespeare in Love', 'Elizabeth', 'Pleasantville', 'Saving Private Ryan', 'What Dreams May Come']",,"['Life Is Beautiful', 'Central Station', 'Children of Heaven', 'The Grandfather', 'Tango']",,,"['Saving Private Ryan', 'Armageddon', 'The Mask of Zorro', 'Shakespeare in Love', 'The Thin Red Line']",,,,"['What Dreams May Come', 'Armageddon', 'Mighty Joe Young']","['Shakespeare in Love', 'Primary Colors', 'Little Voice', 'Hilary and Jackie', 'Gods and Monsters']",,"['Shakespeare in Love', 'Elizabeth', 'Life Is Beautiful', 'Saving Private Ryan', 'The Thin Red Line']",,,"['Election Night (Valgaften)', 'Culture', 'Holiday Romance', 'La Carte Postale (The Postcard)', 'Victor']",,"['Shakespeare in Love', 'Beloved', 'Elizabeth', 'Pleasantville', 'Velvet Goldmine']","['Bunny', 'The Canterbury Tales', 'Jolly Roger', 'More', 'When Life Departs']","['Saving Private Ryan', 'Life Is Beautiful', 'Shakespeare in Love', 'The Thin Red Line', 'The Truman Show']",,"['The Personals: Improvisations on Romance in the Golden Years', 'A Place in the Land', 'Sunrise over Tiananmen Square']","['Saving Private Ryan', 'A Civil Action', 'Elizabeth', 'Shakespeare in Love', 'The Thin Red Line']","['Affliction', 'A Civil Action', 'The Truman Show', 'Shakespeare in Love', 'A Simple Plan']","['Gods and Monsters', 'Out of Sight', 'Primary Colors', 'A Simple Plan', 'The Thin Red Line']","['Life Is Beautiful', 'Elizabeth', 'Pleasantville', 'Saving Private Ryan', 'The Thin Red Line']","['Shakespeare in Love', 'Elizabeth', 'Central Station', 'One True Thing', 'Hilary and Jackie']","['Saving Private Ryan', 'Life Is Beautiful', 'Out of Sight', 'Shakespeare in Love', 'The Thin Red Line']",[''],"['The Prince of Egypt', 'Armageddon', 'Quest for Camelot', 'The Horse Whisperer', 'Babe: Pig in the City']","['Saving Private Ryan', 'Armageddon', 'The Mask of Zorro']","['Shakespeare in Love', ""A Bug's Life"", 'Mulan', 'Patch Adams', 'The Prince of Egypt']",,"['Shakespeare in Love', 'Bulworth', 'Life Is Beautiful', 'Saving Private Ryan', 'The Truman Show']","['Life Is Beautiful', 'Saving Private Ryan', 'Gods and Monsters', 'Affliction', 'American History X']","['Elizabeth', 'Saving Private Ryan', 'Shakespeare in Love']"
